,Short description,Description,Caller,Assignment group,Cat_Short_Description,Cat_Description,Final Category,Description_len,Short_Dec_len,Des_wrd_cnt,Short_Des_wrd_cnt
114,unable update password password management tool,unable update password password management tool,xeakyiqt knhjogel,GRP_0,English,English,English,47,47,6,6
115,erp sid erp production password reset account locked,erp sid erp production password reset account locked,qmgspxkf mckfysdh,GRP_0,English,English,English,52,52,8,8
116,server issue,received hello trying gain access pay roll information hub specifically tool etime portal information portal come without problem pay stub continuously show search ring,bgqpotek cuxakvml,GRP_0,English,English,English,168,12,24,2
117,ticket update ticket,ticket update ticket,fumkcsji sarmtlhy,GRP_0,English,English,English,20,20,3,3
118,unable display expense report,unable display expense report,ncksqfmz fzcjunai,GRP_0,English,English,English,29,29,4,4
119,password reset upitdmhz owupktcg cruzjc,password reset upitdmhz owupktcg cruzjc,uazkjifp dhtnevcq,GRP_0,English,English,English,39,39,5,5
120,unable login benefit tab,unable login benefit tab,bsmjflrp bvslpafi,GRP_0,English,English,English,24,24,4,4
121,hello issue outlook view call let share screen,hello issue outlook view call let share screen,ndaoxbvi szxlciue,GRP_0,English,English,English,46,46,8,8
122,unable access mail,unable access mail,cdfqvlzu jzmwuirn,GRP_0,English,English,English,18,18,3,3
123,unable display expense report,unable display expense report,rbozivdq gmlhrtvp,GRP_0,English,English,English,29,29,4,4
124,mobile device activation,tvcdfqgp nrbcqwgj sent friday october nwfodmhc exurcwkm subject bloqueado forma temporal sincronizaci dispositivo vil mediante exchange activesync hasta que administrador autorice acceso received message local expert told open ticket,tvcdfqgp nrbcqwgj,GRP_0,English,English,English,233,24,29,3
125,internal keybankrd work external usb keybankrd,internal keybankrd work external usb keybankrd,hefiuwvo lcgadsef,GRP_3,English,English,English,46,46,6,6
126,blank call gso,blank call gso,rbozivdq gmlhrtvp,GRP_0,English,English,English,14,14,3,3
127,update inplant,update inplant,rbozivdq gmlhrtvp,GRP_0,English,English,English,14,14,2,2
128,password change thru password management tool password manager,received hello sir tried change password thru got error help know action taken ensure password everywhere since belo wmsg say password changed cid image jpg,jvpkulxw ovuweygj,GRP_0,English,English,English,156,62,25,8
129,unlock personal number es,unlock personal number es,ltsqkane ycgwexdf,GRP_0,English,English,English,25,25,4,4
130,intermittent service configair server sid requires probably restart production server,intermittent service configair server sid requires probably restart production server error occurs production show internal serrver error error trying invoke method java util list iterator null object loaded local variable local list issue reproduced production company customer base material hs finishing company customer starting scratch select product platform hs roughing screen freeze log language different company customer base material issue already several time needed always restart server thryeu good contact person issue already working root external vendor configair,iavozegx jpcudyfi,GRP_14,English,English,English,579,85,78,10
131,unable access vpn,unable access vpn,vtnkwxhr tqxrglvh,GRP_0,English,English,English,17,17,3,3
132,unable open outlook,unable open outlook,kcagqjyv ojhulmes,GRP_0,English,English,English,19,19,3,3
133,install driver printer hostname,install driver printer hostname,bihypqsn kbaegpcd,GRP_0,English,English,English,31,31,4,4
134,unable send email outbox,unable send email outbox,dijxefrq nbgykjpr,GRP_0,English,English,English,24,24,4,4
135,access business client drawing,name xvgftyr tryfuh language browser microsoft internet explorer customer number summary cannot seem access drawing netweaver application installed computer take page colleague,rbozivdq gmlhrtvp,GRP_0,English,English,English,176,30,22,4
136,taking email permission personal phone,name vdhfy language browser microsoft internet explorer customer number summary scrapped old phone mail configured take permission set view mail phone,dcvphjru ybomrjst,GRP_0,English,English,English,150,38,21,5
137,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
138,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
139,unable view payslip,unable view payslip,bdgaxriq iltbozkw,GRP_0,English,English,English,19,19,3,3
140,prtgghj password reset,please reset tool password reset,qcehailo wqynckxg,GRP_0,English,English,English,32,22,5,3
141,channel partner receiving multiple email erp urgent,channel partner email address received email regarding po error matheywter millisecond angry need fixed aerp attached file extracted erp documenting email,qcfmxgid jvxanwre,GRP_15,English,English,English,154,51,21,7
142,usa company interface fastethernet gigabitethernet since,usa company interface fastethernet gigabitethernet since,jyoqwxhz clhxsoqy,GRP_8,English,English,English,56,56,6,6
143,password reset,received good morning forgotten password erp sid made attempt failed could please reset user dgrtrkjs,qtrmxlgv dfruzvam,GRP_0,English,English,English,101,14,15,2
144,es login issue,es login issue verified user detail employee manager name checked user name reset password advised user login check caller confirmed able login issue resolved,ukzfqjet zcbhpweo,GRP_0,English,English,English,158,14,24,3
145,unable start dell device,qifzkoej etbmgjvo unable start dell tablet device,qifzkoej etbmgjvo,GRP_0,English,English,English,49,24,7,4
146,erp print tool install,erp print tool install,aorthyme rnsuipbk,GRP_0,English,English,English,22,22,4,4
147,good morning trouble getting vpn,name wvngzrca sfmrzdth language browser microsoft internet explorer customer number summary good morning trouble getting vpn assist,wvngzrca sfmrzdth,GRP_0,English,English,English,131,32,17,5
148,install acrobat standard,install acrobat standard,iefgkray zdyksvpw,GRP_0,English,English,English,24,24,3,3
149,password reset,password reset,rbozivdq gmlhrtvp,GRP_0,English,English,English,14,14,2,2
150,reset password wseacnvi azvixyqg erp erp,please reset password sid blocked login jdhdw,wseacnvi azvixyqg,GRP_0,English,English,English,45,40,7,6
151,used acces location collaboration platform need access,received cid image jpg bwfhtumx japznrvb regional controller,bwfhtumx japznrvb,GRP_16,English,English,English,60,54,8,7
152,crm add getting disabled outlook,crm add getting disabled outlook,lrbjqcmh jbiwtzqr,GRP_0,English,English,English,32,32,5,5
153,outlook hang,outlook hang,rjsulvat uanigkqc,GRP_0,English,English,English,12,12,2,2
154,vpn working,vpn working,vtnkwxhr tqxrglvh,GRP_0,English,English,English,11,11,2,2
155,reset password hckvpary emxbpkwy using password management tool password reset,employee getting error user authentication failed trying log es portal able access erp able access hub tried reset change password password management tool password manager got error cannot find account woodscf target active directory user hdjdkt,hckvpary emxbpkwy,GRP_17,English,English,English,246,78,36,10
156,job bkbackup tool sql prod inc failed job scheduler,received job bkbackup tool sql prod inc failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,60,51,10,9
157,es password reset,es password reset,mtgujlcb kczyvpqr,GRP_0,English,English,English,17,17,3,3
158,printer,received please note continuous erp printing happening printer print given locally please arrange cancel immediately lot paper getting wasted,nxhwyepl mudstbxo,GRP_0,English,English,English,141,7,19,1
159,update java viewer,received dear java viewer working need access view scanned inwarehouse tool erp assume java update required cid image png deaf best,uijxpazn gvtzlphs,GRP_0,English,English,English,131,18,21,3
160,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_5,English,English,English,37,28,6,5
161,hostname currently experiencing high cpu utilization please investigate,observing alert monitoring tool hostname currently experiencing high cpu utilization please investigate,jloygrwh acvztedi,GRP_14,English,English,English,103,71,12,8
162,access bex,received hello till last week accessing bex report using mm portal issue starting week system incredibly slow log finally allow access report issue maintenance access right rather try access bex using different way print screen see log cid image png also able get finance report see however click profitability analysis always separate window open however apart rom screen blank cid image png appreciate support great day robhyertyj yfqoaepn xnezhsit managing director finance manager cee tel mob company polska krzywoustego pozna www company com company polska siedzib polandiu pozna krzywoustego zarejestrowana dzie rejonowym pozna nowe miasto wilda polandiu wydzia viii gospodarczy kr pod numerem kapita zak adowy pln nip,yfqoaepn xnezhsit,GRP_0,English,English,English,724,10,108,2
163,window account lockout,window account lockout,kcipjago mlkptgvb,GRP_0,English,English,English,22,22,3,3
164,ticket comment added,received windy shi ticket comment added select following link view disclaimer alternate language,tycludks cjofwigv,GRP_0,English,English,English,96,20,13,3
165,account locked erp sid,account locked erp sid,uvwphrbl hfqdumtv,GRP_0,English,English,English,22,22,4,4
166,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
167,user need training use engineering tool view drawing,user need training use engineering tool view drawing connected user system using teamviewer help educated user login business client view drawing issue resolved,rkzqjbwc juizkwpl,GRP_0,English,English,English,160,52,23,8
168,skype working,received hello unable access skype password showing error cid image png,rhwvpmlq zuwhpqrc,GRP_0,English,English,English,71,13,11,2
169,account unlock request,account unlock request,lvxakohq tsfnhowj,GRP_0,English,English,English,22,22,3,3
170,urgent delivery note creation request,received hello team could please generate delivery note order cannot issue despite enough stock item shipping plant sale org delivery plant plant shipping point tys pc pc cid image jpg,fbvpcytz nokypgvx,GRP_18,English,English,English,184,37,30,5
171,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
172,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
173,error login sid system,error login sid system,woaiypxu dxslkbif,GRP_0,English,English,English,22,22,4,4
174,unable take print,unable take print,ewiakvmz tufwrhaj,GRP_19,English,English,English,17,17,3,3
175,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_12,English,English,English,37,28,6,5
176,unlock supply chain software account,received would please help unlock supply chain software account reset supply chain software password,fgehvwxb ckxegsqv,GRP_0,English,English,English,100,36,14,5
177,unable access password management tool password manager ijeqpkrz nwtehsyx grauw,try change password acc attached mail work office vacation time password management tool link work please help password expires day requirement change password every day enhances data security within company please login step step guide using self service tool available please reply email require assistance please submit ticket global support center via mode ticketing tool email kind,ijeqpkrz nwtehsyx,GRP_2,English,English,English,386,79,57,10
178,job hostname fail failed job scheduler,received job hostname fail failed job scheduler,bpctwhsn kzqsbmtp,GRP_5,English,English,English,47,38,7,6
179,unable login erp sid,unable login erp sid,bioanvcz zgfiahyo,GRP_0,English,English,English,20,20,4,4
180,crm license user dfgry,xdvwitpm zscxqdhoalaramdntyan sent friday october xyculgav cuqptoah subject crm license dfgry hello crm installed laptop please support,xdvwitpm zscxqdho,GRP_19,English,English,English,135,22,17,4
181,unable connect vpn,unable connect vpn,aljbtwsh lepkbgix,GRP_19,English,English,English,18,18,3,3
182,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
183,window account locked,window account locked,lvxakohq tsfnhowj,GRP_0,English,English,English,21,21,3,3
184,apply mobile phone access mail box,apply mobile phone access mail box,hygiajzb ajvmhbsr,GRP_0,English,English,English,34,34,6,6
185,data correctly pulled employee travel tool attendee interface,data correctly pulled employee travel tool attendee interface,rdfjsawg zpmxgdcw,GRP_20,English,English,English,61,61,8,8
186,shipment notification,sent friday october nwfodmhc exurcwkm subject shipment notification dear pls help update customer shipment notification email address,yafxlpwi lhxvatkb,GRP_18,English,English,English,133,21,17,2
187,recover folder mistake copied drive,want recover folder,pbtauqyx civyxdkl,GRP_0,English,English,English,19,35,3,5
188,job bkwin hostname inc failed job scheduler,received job bkwin hostname inc failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,52,43,8,7
189,network outage india site hard since backup circuit,type outage network circuit power please specify type outage top cert site yes start scheduled maintenance power yes company power provider power scheduled maintenance network yes company maint yes provider maint ticket site backup circuit yes backup circuit active yes site contact notified phone email yes remote dial yes equipment reset yes verified site working backup circuit yes vendor ticket global telecom verizon telecom vendor telecom vendor notified gsc yes cert started yes additional diagnostics,mnlazfsr mtqrkhnx,GRP_8,English,English,English,508,51,75,8
190,password reset request,password reset request,nyscufdq wjtcsahz,GRP_0,English,English,English,22,22,3,3
191,user able see text mail iphone,user able see text mail iphone,yaxrnmsz bultagqx,GRP_0,English,English,English,30,30,6,6
192,password reset,password reset,ptaerwvk ibvpucyn,GRP_0,English,English,English,14,14,2,2
193,unable sync mail outlook wifi,unable sync mail outlook wifi,vzrbocfl wxtpoyez,GRP_0,English,English,English,29,29,5,5
